GADA-umr9oy,KOTA PADANGSIDIMPUAN,SUMATERA UTARA,1.39868500,99.26336600,False,0.9,3,9
GADA-l9lqcv,KABUPATEN SUMEDANG,JAWA BARAT,-6.86833600,107.90242100,False,0.9,3,9
GADA-e6rdhs,KOTA MEDAN,SUMATERA UTARA,3.60475100,98.63637100,False,0.9,3,9
GADA-n3rpl9,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.60153500,110.86550300,False,0.9,3,9
GADA-xe2maa9d,KOTA BANDUNG,JAWA BARAT,-6.90385000,107.66281000,False,0.9,3,9
GADA-r7uN,KOTA JAKARTA UTARA,DKI JAKARTA,-6.15540600,106.89266300,False,0.9,3,9
GADA-ga9kammr,KABUPATEN BONDOWOSO,JAWA TIMUR,-7.90418000,113.76995000,False,0.9,3,9
GADA-9eqbmvqm,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.91691000,104.82045000,False,0.9,3,9
GADA-czcfq0,KABUPATEN TEGAL,JAWA TENGAH,-6.95865400,109.15300100,False,0.9,3,9
GADA-nkuebu,KABUPATEN SRAGEN,JAWA TENGAH,-7.48607800,111.03411900,False,0.9,3,9
GADA-21sw5p,KOTA TANGERANG SELATAN,BANTEN,-6.24571800,106.65345900,False,0.9,3,9
GADA-58fl2gx1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59582500,116.13756600,False,0.9,3,9
GADA-da69tl,KABUPATEN DELI SERDANG,SUMATERA UTARA,3.59793500,98.57967900,False,0.9,3,9
GADA-xu54zux1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59618100,116.13649900,False,0.9,3,9
GADA-dPY0x1,KABUPATEN KENDAL,JAWA TENGAH,-6.92714000,110.15808400,False,0.9,3,9
GADA-8xgp9z,KOTA MEDAN,SUMATERA UTARA,3.59495200,98.63298600,False,0.9,3,9
GADA-8hhaji,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.58112000,110.85377000,False,0.9,3,8
GADA-5d1h9v,KOTA JAMBI,JAMBI,-1.59097300,103.62121500,False,0.9,3,8
GADA-to1v98,KOTA JAMBI,JAMBI,-1.60536500,103.61962200,False,0.9,3,8
GADA-w3m3ubx0,KOTA MEDAN,SUMATERA UTARA,3.59777700,98.61758100,False,0.9,3,8
GADA-qlnjroj3,KABUPATEN SUMEDANG,JAWA BARAT,-6.87527000,108.03573000,False,0.9,3,8
GADA-9q5b5j,KABUPATEN KARANGANYAR,JAWA TENGAH,-7.56195000,110.92693000,False,0.9,3,8
GADA-5edthi,KABUPATEN WONOGIRI,JAWA TENGAH,-7.75569800,110.88131400,False,0.9,3,8
GADA-e3gwgnga,KOTA BINJAI,SUMATERA UTARA,3.59625000,98.47160000,False,0.9,3,8
GADA-ljwl1rad,KOTA BINJAI,SUMATERA UTARA,3.60479000,98.48164000,False,0.9,3,8
GADA-lrymp2vw,KABUPATEN SUKABUMI,JAWA BARAT,-6.88637000,106.91749000,False,0.9,3,8
GADA-n0zkjm,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.56794700,110.77699900,False,0.9,3,8
GADA-xsf7l6,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.29182400,105.19288800,False,0.9,3,8
GADA-vqvrv3v4,KOTA BANJAR BARU,KALIMANTAN SELATAN,-3.45176000,114.74236000,False,0.9,3,8
GADA-klgrj5ya,KOTA BINJAI,SUMATERA UTARA,3.60590000,98.48108000,False,0.9,3,8
GADA-13ud1z,KABUPATEN KUDUS,JAWA TENGAH,-6.67964600,110.89651800,False,0.9,3,8
GADA-j7rnjeqg,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.09287000,121.64515000,False,0.9,3,8
GADA-yyxj5i,KABUPATEN JEMBER,JAWA TIMUR,-8.18806300,113.72057100,False,0.9,3,8
GADA-mlgop2mw,KABUPATEN BANDUNG,JAWA BARAT,-6.97660000,107.75171000,False,0.9,3,8
GADA-neh2fg,KABUPATEN SUMEDANG,JAWA BARAT,-6.82424400,107.91575100,False,0.9,3,8
GADA-ga9ke31x,KABUPATEN BANDUNG,JAWA BARAT,-7.04093000,107.55255000,False,0.9,3,7
GADA-badklkqv,KOTA BANJAR BARU,KALIMANTAN SELATAN,-3.45577000,114.75561000,False,0.9,3,7
GADA-nksj61,KOTA KENDARI,SULAWESI TENGGARA,-4.01045700,122.55244000,False,0.9,3,7
GADA-ls5zip,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.51636300,121.53129100,False,0.9,3,7
GADA-m2kl13,KABUPATEN OGAN KOMERING ULU TIMUR,SUMATERA SELATAN,-3.94188300,104.43663000,False,0.9,3,7
GADA-x0qqdxx1,KABUPATEN BANJAR,KALIMANTAN SELATAN,-3.36338000,114.62361100,False,0.9,3,7
GADA-hztbkk,KOTA MEDAN,SUMATERA UTARA,3.64717400,98.70186600,False,0.9,3,7
GADA-j6jqydv3,KOTA TANGERANG SELATAN,BANTEN,-6.35652000,106.71263000,False,0.9,3,7
GADA-llw0fi,KOTA MEDAN,SUMATERA UTARA,3.61800600,98.61832000,False,0.9,3,7
GADA-p6g626,KOTA PONTIANAK,KALIMANTAN BARAT,-0.04884100,109.34862900,False,0.9,3,7
GADA-lzpn,KOTA PONTIANAK,KALIMANTAN BARAT,-0.03228700,109.33685800,False,0.9,3,7
GADA-x4lzgdx1,KABUPATEN PANDEGLANG,BANTEN,-6.31758000,106.09454000,False,0.9,3,7
GADA-n0c5tn,KOTA SURAKARTA,JAWA TENGAH,-7.55725500,110.77959400,False,0.9,3,7
GADA-j7zoov0j,KOTA BANJAR BARU,KALIMANTAN SELATAN,-3.44178000,114.73623000,False,0.9,3,7
GADA-okqk50qb,KABUPATEN SUKABUMI,JAWA BARAT,-6.90589000,106.89401000,False,0.9,3,7
GADA-okr3dggg,KABUPATEN SUMEDANG,JAWA BARAT,-6.86781000,108.01249000,False,0.9,3,7
GADA-x3nqgi,KABUPATEN PEMALANG,JAWA TENGAH,-6.84478000,109.49317000,False,0.9,3,7
GADA-nkjqne,KABUPATEN SUMEDANG,JAWA BARAT,-6.95405400,107.81017100,False,0.9,3,7
GADA-llgcaj,KABUPATEN DELI SERDANG,SUMATERA UTARA,3.59855000,98.73533900,False,0.9,3,7
GADA-wg679lak,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.54650000,110.72829000,False,0.9,3,7
GADA-xor8ux,KABUPATEN JAYAPURA,PAPUA,-2.57652900,140.50334500,False,0.9,3,7
