buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-kpbegt,KOTA PALU,SULAWESI TENGAH,-0.87692900,119.87560800,False,0.9,3227330,993795000
GADA-kqezbc,KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.90335300,104.48803800,False,0.9,140019500,1268100000
GADA-kqoggw,KABUPATEN BANJAR,KALIMANTAN SELATAN,-3.36918900,114.64230500,False,0.9,668250000,1016348100
GADA-kqr20b,KABUPATEN PURWOREJO,JAWA TENGAH,-7.72663000,110.00979400,False,0.9,1180690,301445000
GADA-kqvc4b,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.31527900,105.21570000,False,0.9,14945248,347692000
GADA-kqWE,KOTA JAMBI,JAMBI,-1.63902900,103.54454200,False,0.9,80297000,80420000
GADA-kqWEx1,KOTA JAMBI,JAMBI,-1.65567900,103.66484300,False,0.9,80297000,90375000
GADA-kr0rne,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.30996900,102.84424900,False,0.9,21080000,286405000
GADA-krgf9s,KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.91547000,104.46565500,False,0.9,140019500,677636000
GADA-krltea,KOTA SERANG,BANTEN,-6.12175000,106.19652000,False,0.9,10981000,514082500
GADA-kRPAx1,KOTA BANDUNG,JAWA BARAT,-6.92607300,107.63355500,False,0.9,117064518,499140000
GADA-ks2ey9,KOTA JAKARTA BARAT,DKI JAKARTA,-6.12774300,106.72628200,False,0.9,99528000,105236000
GADA-KTB2,KABUPATEN LAMPUNG UTARA,LAMPUNG,-4.82461000,104.89640800,False,0.9,14945248,15105000
GADA-ktf8if,KABUPATEN PURWOREJO,JAWA TENGAH,-7.72677100,109.90754600,False,0.9,1180690,572350000
GADA-ktjco8,KABUPATEN BARRU,SULAWESI SELATAN,-4.38521600,119.62265900,False,0.9,10100000,305870000
GADA-ktkkn5,KABUPATEN PURWOREJO,JAWA TENGAH,-7.72976200,109.90651600,False,0.9,1180690,594530000
GADA-ktwvti,KABUPATEN MAGETAN,JAWA TIMUR,-7.62220000,111.32764800,False,0.9,10663000,11838000
GADA-kufuii,KABUPATEN PURWOREJO,JAWA TENGAH,-7.72783400,109.86632700,False,0.9,1180690,561185000
GADA-kuiksq,KABUPATEN LAMONGAN,JAWA TIMUR,-7.18958900,112.17372800,False,0.9,10663000,88260000
GADA-kuMZx1,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.27803000,116.83084800,False,0.9,197282400,225892500
GADA-kUrtx1,KABUPATEN SUKOHARJO,JAWA TENGAH,-7.60212600,110.80397800,False,0.9,1180690,13289000
GADA-kVKR,KABUPATEN BANYUWANGI,JAWA TIMUR,-8.21923300,114.36922700,False,0.9,10663000,19332897500
GADA-kVKRx1,KABUPATEN BANYUWANGI,JAWA TIMUR,-8.21031000,114.37593900,False,0.9,10663000,7118920000
GADA-kvs19x,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.21110700,106.88423100,False,0.9,99528000,199700000
GADA-kw0ein,KABUPATEN SERANG,BANTEN,-6.06576500,106.12262600,False,0.9,10981000,117250000
GADA-kw5adw,KOTA PEKANBARU,RIAU,0.44302800,101.45769900,False,0.9,121765000,168381000
GADA-kx70x1,KABUPATEN LOMBOK TIMUR,NUSA TENGGARA BARAT,-8.72992700,116.47839800,False,0.9,202600000,265800000
GADA-kxdpm3,KABUPATEN BONE,SULAWESI SELATAN,-4.67832800,120.29130900,False,0.9,10100000,122688500
GADA-kxee1u,KABUPATEN PURWOREJO,JAWA TENGAH,-7.71852700,109.89907400,False,0.9,1180690,281920000
GADA-kxpo16,KABUPATEN PURWOREJO,JAWA TENGAH,-7.75266800,109.91247100,False,0.9,1180690,288700000
GADA-kxukap,KABUPATEN PURWOREJO,JAWA TENGAH,-7.75338900,109.89758500,False,0.9,1180690,565166000
GADA-ky2b9c,KABUPATEN PURWOREJO,JAWA TENGAH,-7.71852700,109.89907400,False,0.9,1180690,9440000
GADA-kyjj5t,KABUPATEN MUSI RAWAS,SUMATERA SELATAN,-3.24455400,103.01571200,False,0.9,21080000,791400000
GADA-kyQYx1,KOTA BANDUNG,JAWA BARAT,-6.96041100,107.66411800,False,0.9,117064518,917683950
GADA-kyrf0y,KABUPATEN PURWOREJO,JAWA TENGAH,-7.76857700,109.84995400,False,0.9,1180690,292764000
