store_code,store_name,city_name,store_latitude,store_longitude
GADA-b5fK,MM19115098-Toko Nanang Sembako (Gudang),KOTA BANDAR LAMPUNG,-5.41267500,105.24282500
GADA-h41bhh,Faris,KABUPATEN DEMAK,-7.53283000,110.60262000
GADA-9oyuyo,sri-tk3bersaudara (Gudang),KOTA BANJAR BARU,-3.43558000,114.75079000
GADA-9u8bud,tk aan (Gudang),KABUPATEN MUSI RAWAS,-3.27130000,102.90467900
GADA-uhxcgy,rasi (Gudang),KOTA PONTIANAK,-0.06200500,109.31171000
GADA-leu9ve,Binter Gudang,KOTA LUBUKLINGGAU,-3.24305000,103.01377000
GADA-lj0o7l,Deni Bersaudara (Gudang),KABUPATEN LOMBOK TENGAH,-8.70153600,116.29551400
GADA-JKB1,Toko Gudang Ada Jabo1 Jakbar,,-6.17204000,106.72213000
GADA-j1ekmf,HARI JAYA (Gudang),KOTA DUMAI,1.66697300,101.43226100
GADA-lyf9me,titing-tksalsa (Gudang),KABUPATEN SUMEDANG,-6.75030100,107.89567500
GADA-yUWJ,AA19117851-Toko Iko Jaya Mandiri (Gudang),KABUPATEN LEBAK,-6.35265200,106.25488200
Oriana,Oriana (Gudang),KOTA TANGERANG SELATAN,-6.27486000,106.71400400
GADA-3xqn63re,Diva Rj,KOTA PEKANBARU,0.51280000,101.43782000
GADA-u88kme,toko KSM (Gudang),KOTA TEBING TINGGI,3.33730900,99.14757200
GADA-TGR4,Toko Gudang Ada Jabo1 Tangerang4,KABUPATEN TANGERANG,-6.26645800,106.46817200
GADA-lzn0hx,edy-tksuheri (Gudang),KOTA PEKANBARU,0.49979200,101.45530100
GADA-rqu9,H319144005-Toko Dhz (Gudang),KOTA PADANGSIDIMPUAN,1.40604460,99.22919890
GADA-qlrdojer,Angelina,KOTA LUBUKLINGGAU,-3.27278000,102.92694000
GADA-xsfcn9,Alam jaya (Gudang),KOTA SAMARINDA,-0.49671100,117.16134700
GADA-u2xi27,toko mikropermata cimahi (Gudang),KABUPATEN BANDUNG BARAT,-6.86393700,107.51867100
GADA-pjo1s3,Toko Sinar Cahaya (Gudang),KABUPATEN POHUWATO,0.47568100,121.93232600
GADA-lcfg2t,Riski Tk (Gudang),KOTA AMBON,-3.64743300,128.19316500
GADA-nk3xsp,TOKO MARENNU (Gudang),KABUPATEN BONE,-4.53952600,120.29768400
GADA-16oprs,kartini mart (Gudang),KOTA TANJUNG PINANG,0.90388500,104.52926500
GulavitCilegon,Gulavit Cilegon,KABUPATEN SERANG,-5.97406000,106.09683000
GADA-ytw9dw,ud barokah (Gudang),KOTA PEMATANG SIANTAR,2.95597700,99.04996600
GADA-n61ylx,toko H SAYUTI (Gudang),KABUPATEN BEKASI,-6.12144900,106.99341500
GADA-uh4uhq,toko zahra (Gudang),KOTA BEKASI,-6.18949800,107.00209700
GADA-hqm1ft,saukani-tkmimin (Gudang),KABUPATEN HULU SUNGAI TENGAH,-2.58418000,115.37815700
GADA-21sz2n,Indra Hendrawan,KABUPATEN CIAMIS,-7.30257400,108.34921000
GADA-x0ndox,sri rahayu (Gudang),KABUPATEN CIAMIS,-7.30509000,108.24445400
GADA-yma4po4v,bintang mas,KOTA JAMBI,-1.62160000,103.65271000
Superkifa,Superkifa,KOTA BEKASI,-6.26203000,106.91083000
GADA-pSWP,H319113056-Toko Maduma (Gudang),KABUPATEN DELI SERDANG,3.61807000,98.61825200
GADA-4jq5ph,Ahmad-tkabahfadhelan (Gudang),KABUPATEN PASURUAN,-7.58651200,112.72905800
GADA-26vkegjg,Tk Damai,KABUPATEN SIDOARJO,-7.49399000,112.60689000
GADA-qlrxxw6g,Toko Lumayan,KABUPATEN JEMBER,-8.29987000,113.63729000
GADA-2p5z3b,yuswa (Gudang),KABUPATEN PATI,-6.72573500,111.16327200
GADA-lbxdip,Widya Mandiri (Gudang),KOTA GORONTALO,0.54291200,123.05392100
GADA-jXmF,FI19050494-Toko Gudang Bintang (Gudang),KOTA DENPASAR,-8.64896200,115.23197800
GADA-9j3vhx,budhi-tkelfrida (Gudang),KABUPATEN BANYU ASIN,-2.91949300,104.80266700
GADA-x3sbi3,edy jui tie (Gudang),KOTA PONTIANAK,-0.00562900,109.35517300
GADA-lnxc20,cahyasumirat-tkcahayacemerlang (Gudang),KOTA TANGERANG,-6.20942400,106.66177800
GADA-l7fx51,Tk Sinar Matahari (Gudang),KOTA JAKARTA PUSAT,-6.16544700,106.86417500
GADA-xxemmm,TOKO YAN (Gudang),KABUPATEN TANGERANG,-6.26174500,106.56089800
GADA-52fc9g,joy rudi mart (Gudang),KOTA BATAM,1.06261900,103.94611900
GADA-tvAP,40775 Toko idola (Gudang),KABUPATEN SIMALUNGUN,2.96967000,99.13121300
GADA-j1iJ,MC19135217-Toko Sundarri (Gudang),KABUPATEN LAMPUNG SELATAN,-5.31024900,105.28723800
GADA-1ydlpm,toko tujuh putra (Gudang),KABUPATEN SINJAI,-5.11770800,120.25233900
GADA-e4941o,TOKO TORDIAN (Gudang),KABUPATEN TAPANULI SELATAN,1.51500300,99.62572100
GADA-ni7plm,Mhanif-Tkmutia (Gudang),KOTA PEKANBARU,0.51714200,101.43783900
GADA-jllb,IR19070873-Toko SCC Silaban Group (Gudang),KOTA BATAM,1.06008000,103.92019900
GADA-xam291,Anugrah (Gudang),KOTA KEDIRI,-7.81691600,112.01766400
GADA-qlr2ljzp,Satria Jaya,KABUPATEN GARUT,-7.22171000,107.90643000
GADA-u2l9a4,Toko Ercilia,KABUPATEN MAGELANG,-7.50706000,110.22246000
GADA-xkli7r,Shafira Jaya (Gudang),KABUPATEN JEMBER,-8.20566700,113.68357500
GADA-kest68,khoirul-tkasiregar (Gudang),KABUPATEN MANDAILING NATAL,0.84177500,99.56236400
GADA-f7wz7u,toko winof (Gudang),KABUPATEN LAMPUNG UTARA,-4.82829100,104.90217600
GADA-kljkjjyj,Toko Maju Jaya,,3.59244000,98.64409000
GADA-xmnnnf,toko ferry (Gudang),KABUPATEN BANGLI,-8.33992400,115.34251000
GADA-uAFD,KL19141209-Toko Edy (Gudang),KOTA PALEMBANG,-3.01858700,104.67680400
GADA-5r7rt9,Toko Mahyuddin (Gudang),KABUPATEN INDRAGIRI HULU,-0.37564500,102.29030000
GADA-df8kds,Toko Aswan (Gudang),KABUPATEN INDRAGIRI HILIR,-0.31355800,103.16625400
GADA-BNA2,Toko Gudang Ada Aceh2,KOTA BANDA ACEH,5.51805000,95.30342000
GADA-TGR1,Toko Gudang Ada Jabo1 Tangerang,,-6.21728500,106.51834900
GADA-LSM,Toko Gudang Ada Lhokseumawe,,5.21968600,97.05656600
GADA-mjIc,37929 Toko fahrul (Gudang),KOTA BANDA ACEH,5.55741600,95.33247200
GADA-BIR,Toko Gudang Ada Bireuen,KABUPATEN BIREUEN,5.19580000,96.78770000
GADA-BPP,Toko Gudang Ada Balikpapan,KABUPATEN KUTAI KARTANEGARA,-0.98103600,116.98143800
GADA-JBS,Toko Gudang Ada Bandung Jabar Selatan,KABUPATEN BANDUNG,-6.96605600,107.57327000
GADA-BJM,Toko Gudang Ada Banjarmasin,KOTA BANJARMASIN,-3.35336800,114.59744300
GADA-551scc,SAJ (Gudang),KABUPATEN JEPARA,-6.67533600,110.68859900
GADA-xaTU,JM19110925-Toko Cundi Kiawan (Gudang),KOTA PADANG,-0.94708300,100.41718100
GADA-5r45ut,toko nyoman (Gudang),KABUPATEN BULELENG,-8.11192200,115.10633300
GADA-ldhs50,Toko Tiga Saudara (Gudang),KABUPATEN KOTAWARINGIN TIMUR,-2.54444300,112.96006000
GADA-BKS,Toko Gudang Ada Jabo2 Bekasi,KOTA BEKASI,-6.18949800,107.00209700
GADA-BGR,Toko Gudang Ada Jabo2 Bogor,KABUPATEN BOGOR,-6.47886800,106.85893400
GADA-dvzovg2q,Fadlan Jaya,KOTA CILEGON,-6.01198000,106.06077000
GADA-7ym3vojj,Bintang Mas,,1.49557000,124.87981000
GADA-e49qrd,Sumber Pangan,KABUPATEN SIDOARJO,-7.46802000,112.71638000
GADA-disk,E319010015-Toko Guna Jaya (Gudang),KOTA SURABAYA,-7.24584700,112.77180900
GADA-l9ioa6,eko-cvtirtomulyo (Gudang),KABUPATEN SIDOARJO,-7.46052900,112.71693400
GADA-7ymvye9y,Toko Makmur Sentosa,KOTA CILEGON,-6.02500000,106.05279000
GADA-n6v84d,toko subur abadi,KOTA SAMARINDA,-0.50813700,117.11718000
Mountoya,Mountoya,KABUPATEN CIREBON,-6.75519000,108.50986000
KAPASMAWAR,KAPASMAWAR (Gudang),KABUPATEN SUBANG,-6.49838600,107.58603100
GADA-MDN,Toko Gudang Ada Medan,KABUPATEN DELI SERDANG,3.59940100,98.60878000
GADA-BDL,Toko Gudang Ada Bandar Lampung,KOTA BANDAR LAMPUNG,-5.41047600,105.25586900
GADA-gvv7q5xw,Mitra Jaya Sentosa,KABUPATEN BOGOR,-6.39904000,106.95875000
GADA-3xv5ywm0,Toko Mudane,KABUPATEN LAMPUNG TENGAH,-4.74879000,105.54518000
WakaWaka,WakaWaka,KOTA PEMATANG SIANTAR,2.94261000,99.05200000
