buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-h9u8xk,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.91411300,104.79147700,False,0.9,9685200,12120000
GADA-hhaz9w,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.90947000,104.66113600,False,0.9,9685200,12120000
GADA-m7rcor,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.93441600,104.80040500,False,0.9,9685200,12120000
GADA-zcd5q5,KOTA PALEMBANG,SUMATERA SELATAN,-2.99729400,104.76321500,False,0.9,9685200,12120000
GADA-xcbqpn,KABUPATEN DELI SERDANG,SUMATERA UTARA,3.57381500,98.80717900,False,0.9,9893000,12120000
GADA-hk1r7y,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.13567800,104.19523900,False,0.9,9685200,12120000
GADA-lw8bnb,KABUPATEN GIANYAR,BALI,-8.29446700,115.34771900,False,0.9,9956000,12107630
GADA-lcq82u,KABUPATEN BANGLI,BALI,-8.44872500,115.35575600,False,0.9,9956000,12107630
GADA-h810go,KABUPATEN BANGLI,BALI,-8.29309100,115.35868300,False,0.9,9956000,12107630
GADA-bt7m2r,KABUPATEN LEBAK,BANTEN,-6.36432100,106.25048400,False,0.9,9995000,12107000
GADA-b8sti2,KOTA MEDAN,SUMATERA UTARA,3.61549000,98.63799500,False,0.9,9893000,12106500
GADA-r10pxrel,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.05297000,104.22185000,False,0.9,9685200,12105000
GADA-58tq96,KABUPATEN MUARO JAMBI,JAMBI,-1.64133100,103.52917900,False,0.9,11115000,12100250
GADA-2pb94r,KABUPATEN JEMBER,JAWA TIMUR,-8.29987600,113.54679000,False,0.9,4716500,12098500
GADA-pvjk1z,KOTA MEDAN,SUMATERA UTARA,3.69902300,98.65912100,False,0.9,9893000,12096000
GADA-sa1txj,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12751200,104.17739600,False,0.9,9685200,12091760
GADA-obftt3x1,KABUPATEN MAGETAN,JAWA TIMUR,-7.70413200,111.45558400,False,0.9,4716500,12090000
GADA-8w5cbd,KABUPATEN BANYUWANGI,JAWA TIMUR,-8.36382000,114.15373400,False,0.9,4716500,12080700
GADA-5r3l7d,KABUPATEN JEMBER,JAWA TIMUR,-8.18802300,113.66936500,False,0.9,4716500,12080700
GADA-xu3c9z,KABUPATEN BANYUWANGI,JAWA TIMUR,-8.36382000,114.15373400,False,0.9,4716500,12080700
GADA-1c0vlw,KABUPATEN MAGETAN,JAWA TIMUR,-7.60212000,111.39445000,False,0.9,4716500,12080000
GADA-36bnvr,KABUPATEN MUSI RAWAS,SUMATERA SELATAN,-3.28012700,102.89906400,False,0.9,9685200,12077000
GADA-d63ima,KABUPATEN KLUNGKUNG,BALI,-8.53887900,115.40220300,False,0.9,9956000,12076000
GADA-c5j3ap,KABUPATEN GIANYAR,BALI,-8.56354100,115.30180300,False,0.9,9956000,12076000
